sug,3.99
sis,4.57
gli,2.0
cra,2.51
sbu,4.57
fiu,4.59
nic,4.51
sbo,4.39
rio,4.28
pru,4.57
let,3.7
mar,0.9299999999999997
ram,0.4800000000000004
fos,4.56
las,0.3099999999999996
cot,4.34
ina,2.68
psi,4.0
vo,3.21
il,3.24
fes,4.12
fas,4.0600000000000005
pal,2.09
raf,2.09
con,3.25
lo,2.74
bis,4.13
svi,3.05
sco,4.13
dro,3.24
mes,3.88
sai,3.8899999999999997
gia,1.25
reb,3.08
niz,2.67
gne,3.55
zur,4.46
fil,3.95
var,4.12
adu,4.34
feg,4.38
tio,4.53
cli,3.3
pet,3.4
fa,2.84
tec,3.9
teo,3.94
cul,3.2199999999999998
plu,4.4
biz,4.15
vai,4.51
van,1.9300000000000002
sva,3.15
tur,2.72
apo,4.23
rav,3.79
caz,4.34
nei,4.45
mac,3.7
cep,4.58
ter,3.0
ele,4.35
pel,1.1800000000000002
fia,1.44
tui,3.5300000000000002
vra,3.9299999999999997
fer,0.6500000000000004
ur,3.99
but,4.49
muf,4.38
bon,4.16
nun,2.74
cla,2.99
fel,4.39
pia,2.72
boc,3.16
sga,4.2
bre,2.85
uc,4.55
bas,3.19
s,4.07
sup,3.66
rez,4.3
dif,2.97
lac,2.4
bam,3.8
mas,0.8600000000000003
ia,1.0899999999999999
rea,4.0
vaz,4.4
pam,4.43
eli,4.41
sem,3.45
toz,4.49
dia,0.3600000000000003
bra,0.1200000000000001
ta,4.59
ri,2.41
clo,3.95
vet,3.48
da,1.56
lat,3.67
eva,4.37
lin,2.74
ciz,1.92
ler,4.4399999999999995
nai,2.37
nii,4.47
det,3.46
mel,3.88
stu,1.9500000000000002
cie,4.11
mug,4.42
ade,4.26
si,2.24
moz,4.4399999999999995
lap,4.3100000000000005
bro,3.2800000000000002
pi,3.19
ub,4.53
tis,3.5700000000000003
zuc,4.45
pin,3.4
iu,4.28
vit,4.51
pai,4.32
som,3.56
der,3.25
sun,4.3
dic,4.48
lu,3.2
ren,0.9299999999999997
cuc,4.02
ini,4.38
ke,4.24
ipo,3.81
dop,4.46
nul,4.57
d,4.48
nan,2.36
nes,4.01
tez,3.35
til,4.39
po,0.33999999999999986
cai,2.59
coa,4.08
iuo,4.35
gil,4.24
gue,4.2
pu,2.27
uf,4.59
la,0.9199999999999999
cia,0.40000000000000036
rel,2.42
lim,4.45
ac,2.31
af,1.4
nel,1.4100000000000001
cil,4.17
bin,4.55
im,2.12
bat,2.16
abi,4.4399999999999995
svo,4.18
set,3.15
le,3.98
sep,4.4399999999999995
sam,3.9699999999999998
lon,3.3200000000000003
nac,3.04
cor,0.03000000000000025
so,3.92
gni,2.34
res,4.22
dei,4.09
rag,1.17
fre,2.08
por,4.5
mai,3.9
suc,3.81
get,2.98
umi,4.49
vie,3.35
ru,4.54
bar,0.5700000000000003
pon,3.66
zar,4.03
fan,2.57
zac,4.55
fla,3.87
fit,3.33
fem,4.51
gol,4.32
tar,1.2400000000000002
ana,3.6100000000000003
ruc,4.41
gui,1.13
ki,4.54
mo,2.65
suf,4.12
gel,3.84
sfa,2.61
esa,3.88
za,2.5
bo,4.0600000000000005
tes,3.19
eso,4.42
di,3.7800000000000002
par,4.05
iet,4.46
que,2.44
er,3.48
oc,3.5300000000000002
men,4.16
diz,4.38
tra,1.0299999999999998
sop,3.35
vam,3.9699999999999998
pli,1.1600000000000001
mis,3.98
gab,4.49
mi,1.7999999999999998
buf,4.15
pau,4.42
ol,4.2
pro,2.33
sin,0.2699999999999996
ne,4.3
bac,3.15
nui,4.58
nen,2.93
coz,4.54
cop,4.29
naz,4.56
seg,3.12
sfo,3.1799999999999997
pot,4.39
zop,4.45
bul,4.4399999999999995
luz,4.5
cau,4.01
pul,3.3600000000000003
tas,3.17
tam,1.35
pur,4.54
fro,4.33
go,1.7999999999999998
lii,4.4399999999999995
zan,3.66
zap,4.5
om,4.4399999999999995
fen,3.7
ir,2.33
qua,1.8599999999999999
bel,1.96
epi,3.6399999999999997
zie,1.7999999999999998
tre,1.0499999999999998
suo,4.05
ie,2.27
gie,3.19
ban,2.15
ros,4.32
zeg,4.12
tuc,4.54
zas,3.27
ghe,0.4800000000000004
roc,3.84
cam,0.29000000000000004
pat,3.59
tie,3.0700000000000003
sil,4.03
bor,2.33
mem,4.42
pol,2.83
col,1.5899999999999999
bir,4.55
am,4.2
lic,4.25
roz,4.51
ple,3.84
nin,4.46
lis,3.8200000000000003
sec,3.48
bla,4.05
pen,4.52
sua,3.79
ver,3.6
at,3.38
ton,2.92
bia,0.7300000000000004
viz,3.8
flo,4.27
coi,4.57
fo,1.0899999999999999
be,1.8199999999999998
cat,3.6
io,0.7599999999999998
scu,2.36
sab,4.54
ba,2.06
evi,4.45
tuf,4.49
xe,4.53
rat,2.21
lom,4.54
nu,2.93
bom,4.29
ber,2.95
tru,3.73
tin,3.3200000000000003
cas,1.96
pez,4.03
gu,0.2599999999999998
tai,1.88
smu,4.36
leo,4.45
usu,4.23
fun,4.13
bio,3.1799999999999997
sce,1.12
tri,1.65
emi,4.56
zi,2.14
sal,0.75
tet,4.43
cer,0.4900000000000002
bil,4.02
gai,4.22
sag,3.56
des,2.09
sus,4.12
boz,4.0600000000000005
ree,4.48
ema,4.53
pan,1.29
l,4.23
nee,4.29
sas,1.29
slo,4.3100000000000005
zoo,4.45
laz,4.29
car,2.27
soc,4.34
fug,4.53
poe,4.42
qui,1.62
gro,4.5
ces,2.44
fig,3.76
lor,4.47
tic,3.26
ce,4.4
ar,3.21
ria,1.1600000000000001
mag,4.48
git,4.36
gio,0.08000000000000007
eco,4.52
ca,3.5
toc,3.54
sma,2.06
pic,1.0699999999999998
cre,4.56
gas,1.87
ado,4.25
sar,2.78
ze,0.33999999999999986
for,1.7799999999999998
tiz,1.0499999999999998
sca,2.88
lar,2.89
gom,4.5
pie,0.8399999999999999
sel,2.44
les,3.99
mil,4.27
sa,1.15
pri,1.13
ae,4.1
chi,4.3
bus,4.29
fu,4.18
das,1.4300000000000002
bol,3.7199999999999998
dra,3.4299999999999997
val,2.42
ti,2.9
tim,4.29
pio,3.0
sue,4.54
son,3.7800000000000002
al,4.32
na,0.2699999999999996
sio,4.46
az,3.56
glu,4.35
ma,1.5099999999999998
bri,1.65
nas,1.3900000000000001
sgu,4.46
raz,3.21
gre,1.7799999999999998
lot,3.3
cet,2.22
deo,4.02
pa,2.83
zia,4.41
dam,4.04
mie,3.08
ste,4.0
rad,3.69
neo,3.96
clu,3.79
ab,0.8899999999999997
sos,4.59
plo,4.08
sic,3.99
mam,3.8899999999999997
sot,1.06
em,4.3
bet,3.84
ara,4.59
dre,4.11
